fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1979600000,255800000,8573800000,210800000,1.213,0.03,-0.04,0.136,0.118
2022-06-30,1978400000,284200000,8808700000,210300000,1.351,0.032,0.054,0.494,0.469
2022-03-31,2373800000,438700000,8989400000,210100000,2.088,0.049,0.124,0.148,0.071
2021-12-31,1912600000,109400000,8508400000,208500000,0.525,0.013,0.123,-0.231,-0.285
2021-09-30,2061700000,225100000,8420200000,207300000,1.086,0.027,0.145,0.275,0.182
2021-06-30,1877300000,190200000,8312700000,206800000,0.92,0.023,0.224,0.237,0.146
2021-03-31,2112100000,382100000,6731100000,195900000,1.95,0.057,0.155,0.103,1067893.73
2020-12-31,1703600000,142200000,6186200000,193700000,0.734,0.023,-0.01,0.444,1401916.77
2020-09-30,1801000000,176600000,5771700000,192300000,0.918,0.031,-0.013,0.4,0.358
2020-06-30,1534000000,153700000,5488600000,191500000,0.803,0.028,-0.075,0.396,0.357
2020-03-31,1828800000,346300000,5029500000,189600000000000,0.0,0.069,,,
2019-12-31,1721400000,98500000,5155500000,188100000000000,0.0,0.019,,,
2019-09-30,1825200000,126100000,4843300000,186500000,0.676,0.026,,,
2019-06-30,1657800000,110100000,4879400000,186100000,0.592,0.023,,,
2021-12-31,7964800000,906800000,8508400000,208500000,4.349,0.107,0.171,0.107,0.029
2020-12-31,6804300000,818800000,6186200000,193700000,4.227,0.132,-0.054,0.224,0.189
2019-12-31,7195000000,668800000,5155500000,188100000,3.556,0.13,0.038,0.056,0.033
2018-12-31,6934000000,633500000,4498900000,184000000,3.443,0.141,,,
